id;sku;product_name;short_description;price;discount;discount_rate;review_count;order_count;inventory_status;is_visible;stock_item_qty;brand_id;brand_name
248280562;6670576746171;Máy Tính Xách Tay Laptop Dell Inspiron 15 3511 i5 1135G7/4GB/512GB/OfficeHS/Win11 - Hàng Chính Hãng;Máy Tính Xách Tay Laptop Dell Inspiron 15 3511 i5 1135G7/4GB/512GB/OfficeHS/Win11 - Hàng Chính Hãng không chỉ khoác lên mình vẻ đẹp tinh tế, sang trọng mà còn sở hữu hiệu năng mạnh mẽ từ con chip Core...;15480000;0;0;0;;available;;1000.0;18805;Dell
275786074;9647007121961;Laptop Acer Aspire Lite 14 51M 36MH i3 1215U8GB256GBWin11 (NX.KTVSV.001) - Hàng Chính Hãng;       Bộ xử lýCông nghệ CPU:Intel Core i3 Alder Lake - 1215USố nhân:6Số luồng:8Tốc độ CPU:1.20 GHzTốc độ tối đa:Turbo Boost 4.4 GHzBộ nhớ đệm:10 MBBộ nhớ RAM, Ổ cứngRAM:8 GBLoại RAM:DDR5 2 khe (1...;9290000;1200000;11;0;;available;;1000.0;17826;Asus
196161158;3698563075880;Laptop Dell Inspiron 16 5620 i5 1240P/16GB/512GB/2GB MX570/OfficeHS/Win11 (N6I5003W1) - Hàng chính hãng;Laptop Dell Inspiron 16 5620 i5 (N6I5003W1) đánh bật mọi đối thủ trong phân khúc laptop học tập - văn phòng khi trang bị cho mình nguồn sức mạnh vượt bậc đến từ con chip Gen 12 cùng card rời MX 570, m...;21550000;0;0;0;;available;;1000.0;18805;Dell
271389249;6693049324602;Laptop HP Elite x360 830 G10 876C5PA (Intel Core i7-1355U | 16GB | 512GB | Intel Iris Xe | 13.3 inch WUXGA | Win 11 | Bạc) - Hàng Chính Hãng;Hãng sản xuấtLaptop HPTên sản phẩm   HP Elite x360 830 G10 876C5PADòng LaptopLaptop nhỏ gọn, Laptop văn phòngBộ vi xử lý Công nghệ CPUIntel Core i7-1355USố nhân...;43990000;0;0;0;;available;;1000.0;17825;HP
275384050;3592839044336;"Máy tính xách tay Acer N23Q23(AG15-31P-32U6) (i3-N305; 8GB;512GB SSD; UMA; 15.6"" FHD;Win11; Bạc; NX.KRPSV.002) - HÀNG CHÍNH HÃNG"; Laptop Acer Aspire Go AG15-31P-32U6Acer Aspire Go AG15-31P-32U6 là dòng laptop văn phòng mỏng nhẹ giá tốt được Acer ra mắt trong năm 2024. Nhẹ nhàng, gọn gàng, bền bỉ cùng thiết kế sang trọng và tố...;9050000;1000000;10;0;;available;;1000.0;18803;Acer
275737346;2125284004980;Laptop Dell Inspiron 5440 7FN5J (Core 7 150U/ 16GB/ 1TB SSD/ 14 inch FHD+/ Win 11/ Office/ Vỏ nhôm/ 1Y) - Hàng Chính Hãng - Bảo Hành 12 Tháng;Laptop Dell Inspiron 5440 7FN5J (Core 7 150U/ 16GB/ 1TB SSD/ 14 inch FHD+/ Win 11/ Office/ Vỏ nhôm/ 1Y)Dell Inspiron 5440 7FN5J là một chiếc laptop cao cấp với thiết kế hiện đại, hi...;24890000;7010000;22;0;;available;;1000.0;18805;Dell
199104980;2381711686336;"Laptop HP 240 G9 6L1Y1PA |i5-1235U|8GB RAM |256GB SSD |14""FHD|Win11 - Hàng Chính Hãng";Thông số kỹ thuât:CPU: Intel Core i5-1235URAM: 8 GB DDR4-3200 MHzỔ cứng: 256 GB PCIe NVMe M.2 SSDMàn hình: 14.0'' FHD, 1920 x 1080, IPS, 250nits, 45% NTSCCard đồ họa: Intel Iris Xᵉ GraphicsCổng ...;16680000;0;0;0;;available;;1000.0;17825;HP
179408253;6396026934879;"Laptop Acer Aspire 3 A315-56-38B1 i3 1005G1/4GB/256GB/15.6""FHD/Win11 - Hàng Chính Hãng";Phân khúc laptop văn phòng trong tầm giá 11 triệu là phân khúc rất khó lựa chọn bởi sự canh tranh rất cao. Nổi bật trong số đó, Acer Aspire 3 A315-56-38B1 là một lựa chọn hoàn hảo ở bởi thiết kế đẹp,...;8990000;0;0;0;;available;;1000.0;18803;Acer
92621088;5777785290207;Laptop LG Gram 2021 17Z90P-G.AH76A5 (Core i7-1165G7/ 16GB LPDDR4X/ 512GB SSD NVMe/ 17 WQXGA IPS/ Win10) - Hàng Chính Hãng;Thiết kế mỏng nhẹ hơn bao giờ hếtLaptop LG Gram 2021 17Z90P-G.AH76A5 với thiết kế hoàn toàn mới sẽ giúp tối ưu hóa năng suất làm việc của người dùng nhờ vào sự hiển thị chuyên nghiệp từ tỉ lệ 16:10, ...;32640000;0;0;0;;available;;1000.0;18851;LG
272837816;1239588894207;Laptop Asus Vivobook 15 X1504VA NJ070W (Core i5-1335U | 16GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win 11 | Xanh) - Hàng Chính Hãng - Bảo Hành 24 Tháng;Năm 2023 lại là một năm có những đột phá công nghệ mới đến từ hãng Asus. Những sản phẩm được ra mắt trong năm nay gần như đều có bản lề mở với góc 180 độ kèm theo đó là tính năng bảo mật an toàn như: ...;15650000;0;0;0;;available;;1000.0;17826;Asus
276063016;1944040688701;Laptop ASUS Gaming Vivobook K3605ZC i5 12500H/16GB/512GB/4GB RTX3050/Win11 (RP629W) - Hàng Chính Hãng;        Laptop Asus Gaming Vivobook K3605ZC i5 12500H (RP629W) nổi bật trong phân khúc tầm trung với bộ cấu hình mạnh mẽ, màn hình sắc nét và thiết kế sang trọng, chiếc máy này chắc chắn sẽ làm hà...;19990000;5000000;20;0;;available;;1000.0;17826;Asus
273218013;7971200051063;Laptop Dell Inspiron 3530 (71011775) | Core i7-1355U | 8GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win 11 | Office | Đen| Hàng Chính Hãng;Không màu mè, không kiểu cách, Dell Inspiron 3530 71011775 hướng tới sự tối giản nhưng vẫn toát ra sự sang trọng, thanh lịch. Kích thước 358.5 x 235.56 x 16.96~18.99 mm và trọng lượng chỉ 1.62 kg, khô...;19490000;0;0;0;;available;;1000.0;18805;Dell
